國文,英文,數學,社會,自然
6,14,11,11,14
9,13,8,14,14
8,13,8,13,10
9,14,11,14,7
13,14,9,9,7
10,9,13,15,7
12,9,12,13,11
7,13,7,15,7
15,13,7,12,8
14,12,14,9,13
11,8,13,10,13
15,9,13,8,6
13,7,11,11,11
9,10,13,15,10
11,13,6,8,13
9,9,8,12,9
10,12,15,15,10
6,9,14,8,8
10,13,13,11,14
9,13,12,13,12
7,9,14,12,8
13,7,13,14,12
7,15,8,12,11
7,11,8,15,11
7,9,13,7,12
11,7,10,14,14
7,7,8,7,12
7,11,10,11,13
8,9,6,13,12
11,10,14,7,15
12,12,7,9,14
13,8,14,14,7
10,14,9,13,14
7,11,15,13,8
7,10,7,7,10
12,9,10,13,11
10,15,9,14,14
9,9,11,8,15
15,12,11,8,11
11,9,15,14,14
13,12,14,15,11
15,8,14,10,6
9,6,14,12,9
15,13,9,6,6
6,9,7,13,13
14,7,13,6,8
6,6,10,12,12
9,14,13,11,11
11,12,8,15,15
10,6,11,10,15
15,7,14,10,8
8,13,6,9,11
7,14,6,6,9
10,11,6,14,15
13,12,7,7,14
14,10,15,7,6
9,7,14,6,8
15,11,8,11,14
11,8,13,7,8
15,15,12,6,10
15,7,8,15,9
6,14,14,15,12
14,14,11,10,14
14,15,8,13,10
9,12,12,12,7
8,7,11,14,12
9,9,15,7,9
9,12,12,15,10
12,8,10,8,15
12,10,10,9,15
8,6,6,11,15
7,14,12,9,7
7,8,12,7,8
7,7,8,12,6
14,13,14,15,11
6,6,13,9,13
10,7,13,10,12
10,12,6,14,14
8,10,11,13,12
12,14,8,10,11
14,6,10,12,9
8,13,11,6,7
9,15,15,15,11
13,14,10,14,12
10,6,8,14,10
13,8,15,7,7
12,10,14,7,6
15,12,9,8,8
9,7,7,12,10
11,10,12,9,13
9,10,12,12,10
7,14,9,15,15
8,14,6,12,12
13,15,14,12,7
15,13,7,7,11
12,15,9,6,8
15,10,15,6,15
7,9,8,12,14
8,9,10,8,13
8,13,13,12,10
